time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/n_updates,train/explained_variance,train/approx_kl,train/clip_range,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/loss,train/entropy_loss
28,15,8487,1245760,740,0.978277999907732,0.098783575,0.2,0.2509379112219904,-0.04361396687017986,0.00045382254675702425,0.348455810546875,-0.018466174602508545,-0.8448450849857181
28,16,9102,1262144,750,0.980293545871973,0.09127502,0.2,0.28228258357266894,-0.03813917491261236,0.00045382254675702425,0.338067626953125,0.08800282329320908,-0.8020185724366456
28,17,9701,1278528,760,0.9825503639876842,0.093361974,0.2,0.24889885793963912,-0.04087092317386123,0.00045382254675702425,0.3349365234375,-0.012671098113059998,-0.8217536745592952
28,18,10300,1294912,770,0.979800458997488,0.088430345,0.2,0.35549723092117347,-0.03630412209313363,0.00045382254675702425,0.34627685546875,0.01906365156173706,-0.8667966039851308
28,19,10902,1311296,780,0.9813085850328207,0.09642108,0.2,0.369675274763722,-0.03960309869726188,0.00045382254675702425,0.3821044921875,0.031663283705711365,-0.9731633002869785
28,20,11500,1327680,790,0.9781850855797529,0.100123286,0.2,0.37980787612032146,-0.041793337710987546,0.00045382254675702425,0.382513427734375,0.04263794422149658,-0.9614906309172511
28,21,12099,1344064,800,0.9748292285948992,0.08723982,0.2,0.38356600067927504,-0.035497939988090366,0.00045382254675702425,0.35665283203125,0.04968907684087753,-0.9041390439961106
28,22,12700,1360448,810,0.9811590183526278,0.09481743,0.2,0.34968360716011376,-0.038854665746112,0.00045382254675702425,0.36192626953125,0.04055163264274597,-0.9089595629367977
28,23,13296,1376832,820,0.9413174204528332,0.11593031,0.2,0.600956877367571,-0.048343820844092986,0.00045382254675702425,0.438128662109375,0.015232518315315247,-1.0776090892031789
28,24,13893,1393216,830,0.953786563128233,0.08963543,0.2,0.5890908301924356,-0.040126657763721596,0.00045382254675702425,0.3739501953125,0.1964591145515442,-0.9847672893665731
28,25,14496,1409600,840,0.9605366364121437,0.098636925,0.2,0.46591103809769263,-0.04096619114980058,0.00045382254675702425,0.373419189453125,0.04215399920940399,-0.9449328212067485
28,26,15092,1425984,850,0.9646506868302822,0.0867953,0.2,0.48481320911669173,-0.03836905488678895,0.00045382254675702425,0.361187744140625,-0.0025846660137176514,-0.9181921999435871
28,27,15688,1442368,860,0.9673227965831757,0.10505508,0.2,0.4946172103052959,-0.03920316619496589,0.00045382254675702425,0.378460693359375,0.165293350815773,-0.927642418583855
28,28,16286,1458752,870,0.9678849577903748,0.094910294,0.2,0.6320696464274078,-0.03812680648352398,0.00045382254675702425,0.375787353515625,0.1329791247844696,-0.9566780363675207
28,29,16881,1475136,880,0.9685586951673031,0.107832216,0.2,0.5524244366097264,-0.04073774839307589,0.00045382254675702425,0.385394287109375,0.5282950401306152,-0.9636857325211168
28,30,17477,1491520,890,0.9640585742890835,0.10443155,0.2,0.508034907875117,-0.042420700930233576,0.00045382254675702425,0.4020263671875,0.19736286997795105,-1.005189211247489
28,31,18080,1507904,900,0.9680355601012707,0.099569894,0.2,0.4487867376534268,-0.04305976091964112,0.00045382254675702425,0.39395751953125,0.02970711886882782,-0.9749891043175012
28,32,18679,1524288,910,0.9739263784140348,0.101771936,0.2,0.35620080115622843,-0.04415890230920923,0.00045382254675702425,0.37694091796875,0.014172710478305817,-0.9145637940615415
28,33,19275,1540672,920,0.9714542124420404,0.101489395,0.2,0.4737621162668802,-0.04128599567375204,0.00045382254675702425,0.3703857421875,0.04701763391494751,-0.9306746017653496
28,34,19872,1557056,930,0.9704197682440281,0.09539364,0.2,0.5190191249130294,-0.04063600791232602,0.00045382254675702425,0.379022216796875,0.009012147784233093,-0.9487008718773723
28,35,20469,1573440,940,0.9632687754929066,0.08994816,0.2,0.745607101265341,-0.03798039189987321,0.00045382254675702425,0.3599365234375,0.11314143240451813,-0.927924794331193
28,36,21063,1589824,950,0.9667483605444431,0.08524843,0.2,0.7424287083325908,-0.034053570382093314,0.00045382254675702425,0.332623291015625,0.20567747950553894,-0.8268793524242938
